row,trip_id,phase,start_s,end_s,is_boundary,mode,relay_id,min_margin_bound_db,pass
1,Q3-T-001,爬升,390.0,390.0,True,直连,,45.92517525248826,True
2,Q3-T-001,爬升,390.0,390.34184672371094,False,直连,,45.925175252488266,True
3,Q3-T-001,爬升,390.34184672371094,390.34184672371094,True,直连,,46.38238674364702,True
4,Q3-T-001,爬升,390.34184672371094,399.60265609712184,False,直连,,56.38238674364702,True
5,Q3-T-001,爬升,399.60265609712184,399.60265609712184,True,直连,,63.04826031558974,True
6,Q3-T-001,爬升,399.60265609712184,400.5743917449054,False,直连,,60.56487003084809,True
7,Q3-T-001,爬升,400.5743917449054,400.5743917449054,True,直连,,60.56487003084809,True
8,Q3-T-001,爬升,400.5743917449054,408.6860501935803,False,直连,,50.80570620510426,True
9,Q3-T-001,爬升,408.6860501935803,408.6860501935803,True,直连,,50.80570620510426,True
10,Q3-T-001,爬升,408.6860501935803,417.99820232145794,False,直连,,45.82290764368433,True
11,Q3-T-001,爬升,417.99820232145794,417.99820232145794,True,直连,,45.82290764368433,True
12,Q3-T-001,爬升,417.99820232145794,438.45220336914065,False,直连,,39.982830377148545,True
13,Q3-T-001,爬升,438.45220336914065,438.45220336914065,True,直连,,39.982830377148545,True
14,Q3-T-001,巡航,438.45220336914065,572.4228357746762,False,直连,,17.79550583936357,True
15,Q3-T-001,巡航,572.4228357746762,572.4228357746762,True,直连,,17.79550583936357,True
16,Q3-T-001,巡航,572.4228357746762,625.2985493120008,False,直连,,4.918777094567158,True
17,Q3-T-001,巡航,625.2985493120008,625.2985493120008,True,直连,,4.918777094567162,True
18,Q3-T-001,巡航,625.2985493120008,637.6266838664694,False,直连,,4.365419094587921,True
19,Q3-T-001,巡航,637.6266838664694,637.6266838664694,True,直连,,4.365419094587921,True
20,Q3-T-001,巡航,637.6266838664694,692.9504403290156,False,直连,,2.2410165102830195,True
21,Q3-T-001,巡航,692.9504403290156,692.9504403290156,True,直连,,2.2410165102830177,True
22,Q3-T-001,下降,692.9504403290156,718.4143651774021,False,直连,,2.2410165102830195,True
23,Q3-T-001,下降,718.4143651774021,718.4143651774021,True,直连,,2.2465553185876814,True
24,Q3-T-001,下降,718.4143651774021,724.3842982433409,False,直连,,2.246555318587685,True
25,Q3-T-001,下降,724.3842982433409,724.3842982433409,True,直连,,2.2473088722119314,True
26,Q3-T-001,下降,724.3842982433409,727.0820771027705,False,直连,,2.2473088722119297,True
27,Q3-T-001,下降,727.0820771027705,727.0820771027705,True,直连,,2.2475814025186764,True
28,Q3-T-001,下降,727.0820771027705,728.5730843719844,False,直连,,2.247581402518678,True
29,Q3-T-001,下降,728.5730843719844,728.5730843719844,True,直连,,2.24771385877267,True
30,Q3-T-001,投送交接,728.5730843719844,744.679230704014,False,直连,,2.24771385877267,True
31,Q3-T-001,投送交接,744.679230704014,744.679230704014,True,直连,,2.24771385877267,True
32,Q3-T-001,投送交接,744.679230704014,795.4654058595361,False,直连,,2.24771385877267,True
33,Q3-T-001,投送交接,795.4654058595361,795.4654058595361,True,直连,,2.24771385877267,True
34,Q3-T-001,投送交接,795.4654058595361,968.5730843719844,False,直连,,2.24771385877267,True
35,Q3-T-001,投送交接,968.5730843719844,968.5730843719844,True,直连,,2.24771385877267,True
36,Q3-T-001,爬升,968.5730843719844,969.8155904296625,False,直连,,2.247581402518678,True
37,Q3-T-001,爬升,969.8155904296625,969.8155904296625,True,直连,,2.2475814025186764,True
38,Q3-T-001,爬升,969.8155904296625,972.0637394791872,False,直连,,2.2473088722119297,True
39,Q3-T-001,爬升,972.0637394791872,972.0637394791872,True,直连,,2.2473088722119314,True
40,Q3-T-001,爬升,972.0637394791872,977.0386837008028,False,直连,,2.246555318587685,True
41,Q3-T-001,爬升,977.0386837008028,977.0386837008028,True,直连,,2.2465553185876814,True
42,Q3-T-001,爬升,977.0386837008028,998.2586210744583,False,直连,,2.2410165102830195,True
43,Q3-T-001,爬升,998.2586210744583,998.2586210744583,True,直连,,2.2410165102830177,True
44,Q3-T-001,巡航,998.2586210744583,1053.5823775370045,False,直连,,2.2410165102830195,True
45,Q3-T-001,巡航,1053.5823775370045,1053.5823775370045,True,直连,,4.365419094587921,True
46,Q3-T-001,巡航,1053.5823775370045,1065.910512091473,False,直连,,4.365419094587921,True
47,Q3-T-001,巡航,1065.910512091473,1065.910512091473,True,直连,,4.918777094567162,True
