row,trip_id,phase,start_s,end_s,is_boundary,mode,relay_id,min_margin_bound_db,pass
1,Q3-T-001,爬升,390.0,390.0,True,直连,,45.92517525248826,True
2,Q3-T-001,爬升,390.0,390.34184672371094,False,直连,,45.925175252488266,True
3,Q3-T-001,爬升,390.34184672371094,390.34184672371094,True,直连,,56.38238674364703,True
4,Q3-T-001,爬升,390.34184672371094,399.60265609712184,False,直连,,56.382386743647025,True
5,Q3-T-001,爬升,399.60265609712184,399.60265609712184,True,直连,,63.04826031558971,True
6,Q3-T-001,爬升,399.60265609712184,400.5743917449054,False,直连,,60.56487003084808,True
7,Q3-T-001,爬升,400.5743917449054,400.5743917449054,True,直连,,60.56487003084808,True
8,Q3-T-001,爬升,400.5743917449054,408.6860501935803,False,直连,,50.80570620510425,True
9,Q3-T-001,爬升,408.6860501935803,408.6860501935803,True,直连,,50.80570620510426,True
10,Q3-T-001,爬升,408.6860501935803,417.99820232145794,False,直连,,45.82290764368432,True
11,Q3-T-001,爬升,417.99820232145794,417.99820232145794,True,直连,,45.82290764368432,True
12,Q3-T-001,爬升,417.99820232145794,442.62231115873317,False,直连,,39.15657284889858,True
13,Q3-T-001,爬升,442.62231115873317,442.62231115873317,True,直连,,39.15657284889858,True
14,Q3-T-001,爬升,442.62231115873317,492.6455118815104,False,直连,,32.7598396645181,True
15,Q3-T-001,爬升,492.6455118815104,492.6455118815104,True,直连,,32.7598396645181,True
16,Q3-T-001,巡航,492.6455118815104,639.1032424286232,False,直连,,16.932552583020787,True
17,Q3-T-001,巡航,639.1032424286232,639.1032424286232,True,直连,,16.93255258302078,True
18,Q3-T-001,巡航,639.1032424286232,641.0121914181283,False,直连,,16.822974301050376,True
19,Q3-T-001,巡航,641.0121914181283,641.0121914181283,True,直连,,6.82297430105038,True
20,Q3-T-001,巡航,641.0121914181283,648.9339572893757,False,直连,,6.382114616510574,True
21,Q3-T-001,巡航,648.9339572893757,648.9339572893757,True,直连,,6.382114616510577,True
22,Q3-T-001,巡航,648.9339572893757,749.3812221939677,False,直连,,2.1343308002043955,True
23,Q3-T-001,巡航,749.3812221939677,749.3812221939677,True,直连,,2.1343308002043955,True
24,Q3-T-001,巡航,749.3812221939677,821.4501659020625,False,直连,,-7.72715225139109e-13,True
25,Q3-T-001,巡航,821.4501659020625,821.4501659020625,True,直连,,-7.673861546209082e-13,True
26,Q3-T-001,巡航,821.4501659020625,825.465405859537,False,中继,Q3-R-001,0.20000000000099405,True
27,Q3-T-001,巡航,825.465405859537,825.465405859537,True,中继,Q3-R-001,0.2000000000009976,True
28,Q3-T-001,巡航,825.465405859537,880.678511911715,False,中继,Q3-R-002,13.009544402364188,True
29,Q3-T-001,巡航,880.678511911715,880.678511911715,True,中继,Q3-R-002,13.610115612277099,True
30,Q3-T-001,巡航,880.678511911715,891.3534161851755,False,中继,Q3-R-002,13.479707828576096,True
31,Q3-T-001,巡航,891.3534161851755,891.3534161851755,True,中继,Q3-R-002,13.479707828576096,True
32,Q3-T-001,下降,891.3534161851755,898.1787454566407,False,中继,Q3-R-002,13.466274082637634,True
33,Q3-T-001,下降,898.1787454566407,898.1787454566407,True,中继,Q3-R-002,13.46627408263764,True
34,Q3-T-001,下降,898.1787454566407,904.6688193685209,False,中继,Q3-R-002,13.452217389645586,True
35,Q3-T-001,下降,904.6688193685209,904.6688193685209,True,中继,Q3-R-002,13.452217389645583,True
36,Q3-T-001,下降,904.6688193685209,918.4111389498785,False,中继,Q3-R-002,13.418383224606892,True
37,Q3-T-001,下降,918.4111389498785,918.4111389498785,True,中继,Q3-R-002,13.418383224606885,True
38,Q3-T-001,下降,918.4111389498785,924.968030442988,False,中继,Q3-R-002,13.400321372959615,True
39,Q3-T-001,下降,924.968030442988,924.968030442988,True,中继,Q3-R-002,13.40032137295961,True
40,Q3-T-001,投送交接,924.968030442988,1134.968030442988,False,中继,Q3-R-002,13.400321372959615,True
41,Q3-T-001,投送交接,1134.968030442988,1134.968030442988,True,中继,Q3-R-002,13.40032137295961,True
42,Q3-T-001,爬升,1134.968030442988,1140.432106687246,False,中继,Q3-R-002,13.400321372959615,True
43,Q3-T-001,爬升,1140.432106687246,1140.432106687246,True,中继,Q3-R-002,13.418383224606885,True
44,Q3-T-001,爬升,1140.432106687246,1151.8840396717108,False,中继,Q3-R-002,13.418383224606892,True
