table,field,rows,missing_count,missing_rate,missing_class,unique_values,min,q1,median,q3,max,mean,std_population,iqr_flags,mad_flags
depots,node_id,1,0,0.0,none,1,,,,,,,,0,0
depots,name,1,0,0.0,none,1,,,,,,,,0,0
depots,lon_deg,1,0,0.0,none,1,109.2308517,109.2308517,109.2308517,109.2308517,109.2308517,109.2308517,0.0,0,0
depots,lat_deg,1,0,0.0,none,1,23.0085095,23.0085095,23.0085095,23.0085095,23.0085095,23.0085095,0.0,0,0
depots,ground_elevation_m,1,0,0.0,none,1,127.7,127.7,127.7,127.7,127.7,127.7,0.0,0,0
services,node_id,15,0,0.0,none,15,,,,,,,,0,0
services,name,15,0,0.0,none,12,,,,,,,,0,0
services,lon_deg,15,0,0.0,none,15,109.1688578,109.2062654,109.2381714,109.2649679,109.2835966,109.23489685333334,0.035260499404459245,0,0
services,lat_deg,15,0,0.0,none,15,23.0052097,23.0302534,23.0402714,23.05571635,23.0795113,23.04277666,0.02245733660132165,0,0
services,ground_elevation_m,15,0,0.0,none,15,154.0,193.9,249.8,319.75,444.5,260.0133333333333,77.857835115606,0,0
services,population,15,0,0.0,none,15,3.0,23.0,55.0,157.0,2100.0,228.13333333333333,509.44451666060314,1,2
transport_models,model_id,3,0,0.0,none,3,,,,,,,,0,0
transport_models,name,3,0,0.0,none,3,,,,,,,,0,0
transport_models,empty_mass_kg,3,0,0.0,none,3,65.0,67.45,69.9,69.95,70.0,68.3,2.3338094752285743,0,0
transport_models,max_payload_kg,3,0,0.0,none,3,25.0,27.5,30.0,55.0,80.0,45.0,24.8327740429189,0,0
transport_models,volume_m3,3,0,0.0,none,3,0.06,0.0665,0.073,0.1615,0.25,0.12766666666666668,0.08666538460590185,0,0
transport_models,cruise_speed_mps,3,0,0.0,none,2,12.0,13.5,15.0,15.0,15.0,14.0,1.4142135623730951,0,0
transport_models,empty_range_m,3,0,0.0,none,3,25000.0,25500.0,26000.0,27000.0,28000.0,26333.333333333332,1247.219128924647,0,0
transport_models,full_range_m,3,0,0.0,none,3,12000.0,14000.0,16000.0,18000.0,20000.0,16000.0,3265.986323710904,0,0
transport_models,usable_energy_kwh,3,0,0.0,none,3,4.0,4.25,4.5,6.25,8.0,5.5,1.7795130420052185,0,0
transport_models,reserve_percent,3,0,0.0,none,1,20.0,20.0,20.0,20.0,20.0,20.0,0.0,0,0
transport_models,prepare_s,3,0,0.0,none,1,300.0,300.0,300.0,300.0,300.0,300.0,0.0,0,0
transport_models,load_per_box_s,3,0,0.0,none,1,30.0,30.0,30.0,30.0,30.0,30.0,0.0,0,0
transport_models,handoff_base_s,3,0,0.0,none,2,150.0,150.0,150.0,165.0,180.0,160.0,14.142135623730951,0,0
transport_models,handoff_per_box_s,3,0,0.0,none,2,30.0,30.0,30.0,33.0,36.0,32.0,2.8284271247461903,0,0
transport_models,climb_speed_mps,3,0,0.0,none,2,2.5,2.75,3.0,3.0,3.0,2.8333333333333335,0.23570226039551584,0,0
transport_models,descent_speed_mps,3,0,0.0,none,2,2.0,2.25,2.5,2.5,2.5,2.3333333333333335,0.23570226039551584,0,0
transport_models,climb_efficiency,3,0,0.0,none,1,0.72,0.72,0.72,0.72,0.72,0.7200000000000001,1.1102230246251565e-16,0,0
