source_file,source_row,feature_id,field,old,new,rule
镇龙乡及周边水体.csv,2,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,3,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,4,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,5,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,6,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,7,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,8,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,9,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,10,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,11,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,12,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,13,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,14,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,15,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,16,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,17,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,18,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,19,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,20,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,21,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,22,WS001,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,23,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,24,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,25,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,26,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,27,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,28,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,29,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,30,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
镇龙乡及周边水体.csv,31,WS002,name,未记录,,保留原文于name_raw，语义缺失转null并标志
